,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
10,10,1562872021,Kobus vardonii,-15.943998,27.012038,POINT (27.012038 -15.943998),1,1.1506935,143.0,47.0,1762.31,83.5,-0.53,9.55,104.56,91404.0,91404.0,249.0,182.0,12.0,117.53,117.53,2562.57,175.72,155.24,518.0,127.0,67.0,0.000798258,211.0,245.0,163.0,829.0,227.0,0.0,120.0,615.0,0.0,335.0,0.0,150.0,55.0,3318.0,329.0,58.0,271.0,235.0,163.0
11,11,922120195,Kobus vardonii,-13.90241,31.638222,POINT (31.638222 -13.90241),1,0.6011038,138.0,30.0,1749.08,77.63,-0.45,8.6,137.01,98586.0,98586.0,258.0,193.0,12.0,116.84,116.84,2699.08,178.64,153.96,591.0,145.0,59.0,0.009375556,228.0,260.0,191.0,961.0,250.0,0.0,115.0,673.0,0.0,302.0,6.0,131.0,55.0,2694.0,346.0,109.0,237.0,241.0,191.0
12,12,1913213660,Kobus vardonii,-12.929085,31.998816,POINT (31.998816 -12.929085),1,5.130772,143.0,26.0,1897.87,71.45,-0.56,8.45,114.03,105354.0,105354.0,286.0,210.0,12.0,132.65,132.65,2562.47,189.01,162.78,633.5,120.0,67.0,0.004207033,244.0,274.0,204.0,842.0,210.0,0.0,110.0,558.0,0.0,263.0,0.0,144.0,57.0,2750.0,358.0,109.0,249.0,259.0,204.0
13,13,1883502192,Kobus vardonii,-14.638582,26.3901,POINT (26.3901 -14.638582),1,3.5256395,128.0,25.0,1723.93,76.38,-0.44,8.6,125.93,89658.0,89658.0,249.0,163.0,12.0,115.3,120.31,2220.92,166.69,147.01,516.0,171.0,47.0,0.0055013313,207.0,234.0,165.0,958.0,236.0,0.0,113.0,655.0,0.0,150.0,3.0,146.0,56.0,2811.0,324.0,64.0,260.0,223.0,166.0
14,14,1883559837,Kobus vardonii,-13.079805,31.796945,POINT (31.796945 -13.079805),1,2.6700997,143.0,26.0,1909.18,72.06,-0.56,8.5,111.98,105480.0,105480.0,287.0,210.0,12.0,133.19,133.19,2598.62,190.12,163.67,634.0,120.0,67.0,0.0008527082,244.0,274.0,204.0,837.0,211.0,0.0,112.0,559.0,0.0,264.0,0.0,145.0,57.0,2766.0,360.0,108.0,252.0,259.0,204.0
15,15,1453206080,Kobus vardonii,-15.009619,25.807927,POINT (25.807927 -15.009619),1,0.43736607,136.0,9.0,1749.23,78.83,-0.49,9.15,113.39,90144.0,90144.0,250.0,164.0,12.0,115.61,120.76,2338.08,170.42,150.17,516.0,75.0,45.0,0.0013178121,208.0,238.0,164.0,899.0,223.0,0.0,114.0,624.0,0.0,356.0,3.0,150.0,55.0,3031.0,329.0,58.0,271.0,228.0,164.0
16,16,1913213657,Kobus vardonii,-12.602839,32.135738,POINT (32.135738 -12.602839),1,4.8877096,143.0,26.0,1845.48,79.13,-0.53,8.2,121.08,104256.0,104256.0,280.0,209.0,12.0,129.33,129.33,2416.48,183.02,158.35,624.0,120.0,67.0,0.0017110137,241.0,271.0,202.0,861.0,213.0,0.0,112.0,575.0,0.0,265.0,0.0,137.0,57.0,2672.0,351.0,111.0,240.0,256.0,202.0
17,17,1898845955,Kobus vardonii,-13.146434,31.680126,POINT (31.680126 -13.146434),1,2.3009026,143.0,26.0,1911.03,72.2,-0.56,8.6,111.33,105426.0,105426.0,286.0,210.0,12.0,132.68,132.68,2664.51,191.35,164.44,634.0,120.0,67.0,0.00085426745,244.0,275.0,203.0,839.0,213.0,0.0,112.0,562.0,0.0,265.0,0.0,145.0,57.0,2807.0,362.0,108.0,254.0,260.0,203.0
18,18,1805398531,Kobus vardonii,-12.893624,31.949999,POINT (31.949999 -12.893624),1,4.8599963,143.0,26.0,1886.5,79.87,-0.55,8.45,114.64,105138.0,105138.0,284.0,210.0,12.0,131.93,131.93,2528.9,187.62,161.83,630.5,120.0,67.0,0.0009223736,243.0,273.0,203.0,843.0,210.0,0.0,111.0,561.0,0.0,263.0,0.0,142.0,57.0,2738.0,357.0,109.0,248.0,258.0,203.0
19,19,1883501977,Kobus vardonii,-14.794112,26.260387,POINT (26.260387 -14.794112),1,0.12895852,128.0,25.0,1730.01,77.47,-0.46,8.85,121.34,89820.0,89820.0,251.0,164.0,12.0,115.26,120.15,2260.82,167.93,147.62,518.5,171.0,47.0,0.002817893,208.0,236.0,164.0,937.0,235.0,0.0,112.0,647.0,0.0,376.0,3.0,147.0,55.0,2911.0,325.0,61.0,264.0,225.0,165.0
