,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
95,95,1920810750,Damaliscus pygargus,-39.10961474006012,34.44045479866275,POINT (34.44045479866275 -39.10961474006012),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
96,96,1850897043,Damaliscus pygargus,-25.55817796965841,32.43746652989042,POINT (32.43746652989042 -25.55817796965841),0,2.1999662,155.0,6.0,1664.81,56.09,-0.56,7.65,119.53,101358.0,101358.0,262.0,208.0,12.0,93.27,93.27,3841.22,180.17,180.17,602.5,48.0,56.0,0.0052097216,235.0,264.0,196.0,731.0,127.0,14.0,65.0,344.0,48.0,344.0,48.0,129.0,62.0,2689.0,326.0,119.0,207.0,264.0,196.0
97,97,1457579345,Damaliscus pygargus,-39.55948404615682,32.713958114580464,POINT (32.71395811458046 -39.55948404615682),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
98,98,665887909,Damaliscus pygargus,-40.56385330217256,18.273392810874192,POINT (18.27339281087419 -40.56385330217255),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
99,99,1838359192,Damaliscus pygargus,-34.220736031258575,32.3423803828798,POINT (32.3423803828798 -34.22073603125858),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
100,100,1838380504,Damaliscus pygargus,-32.117212082886866,19.708209178004502,POINT (19.7082091780045 -32.11721208288687),0,0.28085527,129.0,28.0,1695.06,90.91,-0.91,14.15,16.97,82422.0,82422.0,194.0,167.0,12.0,67.37,219.58,6414.74,219.58,64.92,424.0,73.0,74.0,0.0017224835,190.0,252.0,124.0,154.0,29.0,3.0,60.0,72.0,15.0,15.0,70.0,170.0,54.0,5051.0,350.0,40.0,310.0,131.0,252.0
101,101,784068993,Damaliscus pygargus,-28.973322680356198,33.81722682326911,POINT (33.81722682326911 -28.9733226803562),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
102,102,1838386513,Damaliscus pygargus,-20.92661592546263,28.10464808662989,POINT (28.10464808662989 -20.92661592546263),0,2.5846293,151.0,7.0,1648.8,69.8,-0.7,9.4,68.08,86436.0,86436.0,222.0,159.0,12.0,97.96,97.96,3182.9,170.42,162.88,479.0,33.0,56.0,0.0026208477,200.0,232.0,149.0,498.0,106.0,1.0,96.0,305.0,5.0,193.0,10.0,144.0,57.0,3474.0,308.0,57.0,251.0,229.0,149.0
103,103,1838397709,Damaliscus pygargus,-28.28488651025227,21.760143082569947,POINT (21.76014308256995 -28.28488651025227),0,4.5272846,129.0,28.0,1705.07,86.98,-0.87,15.25,23.73,82944.0,82944.0,199.0,183.0,12.0,77.52,77.52,5544.83,206.39,186.54,413.0,113.0,62.0,0.006633447,192.0,257.0,118.0,222.0,47.0,3.0,75.0,116.0,11.0,90.0,11.0,166.0,51.0,5449.0,343.0,22.0,321.0,251.0,118.0
104,104,1269584197,Damaliscus pygargus,-18.45524208972053,34.281257908216446,POINT (34.28125790821644 -18.45524208972053),0,1.3147054,138.0,4.0,1805.06,70.25,-0.35,7.35,182.31,105048.0,105048.0,265.0,201.0,12.0,108.23,127.75,3540.18,187.44,179.98,619.5,109.0,53.0,0.014244675,243.0,269.0,202.0,1180.0,243.0,17.0,87.0,687.0,67.0,571.0,79.0,132.0,60.0,2741.0,346.0,128.0,218.0,268.0,215.0
