,Unnamed: 0,gbif_id,taxon_name,decimal_latitude,decimal_longitude,coordinates,present/pseudo_absent,band 1,band 2,band 3,band 4,band 5,band 6,band 7,band 8,band 9,band 10,band 11,band 12,band 13,band 14,band 15,band 16,band 17,band 18,band 19,band 20,band 21,band 22,band 23,band 24,band 25,band 26,band 27,band 28,band 29,band 30,band 31,band 32,band 33,band 34,band 35,band 36,band 37,band 38,band 39,band 40,band 41
76,76,858402072,Sus scrofa,41.451818,1.972476,POINT (1.972476 41.451818),1,1.4561726,142.0,24.0,908.24,50.2,-0.34,14.8,94.2,69174.0,69174.0,123.0,199.0,9.0,30.52,42.48,4078.66,112.71,58.68,341.0,96.0,77.0,0.0042698625,160.0,230.0,96.0,601.0,81.0,27.0,29.0,208.0,117.0,150.0,117.0,72.0,32.0,5288.0,278.0,58.0,220.0,170.0,102.0
77,77,858397905,Sus scrofa,41.87131,0.71934,POINT (0.71934 41.87131),1,2.607948,135.0,22.0,1007.71,48.6,-0.4,17.7,75.36,54162.0,42570.0,80.0,154.0,7.0,28.15,28.15,5073.78,149.63,122.04,205.0,657.0,74.0,0.022401737,125.0,206.0,46.0,606.0,72.0,33.0,23.0,193.0,112.0,153.0,112.0,104.0,37.0,6256.0,280.0,0.0,280.0,149.0,46.0
78,78,858395702,Sus scrofa,41.601231,2.02752,POINT (2.02752 41.601231),1,2.227558,130.0,24.0,862.15,38.8,-0.2,15.25,105.67,59958.0,59958.0,100.0,179.0,8.0,27.72,27.72,4039.35,109.91,83.22,275.0,624.0,62.0,0.056596335,139.0,211.0,73.0,688.0,78.0,38.0,24.0,217.0,128.0,179.0,128.0,73.0,32.0,5458.0,262.0,36.0,226.0,187.0,73.0
79,79,243790234,Sus scrofa,37.167999,-2.8360000000000003,POINT (-2.836 37.167999),1,1.8675885,131.0,13.0,1128.01,70.27,-0.55,18.0,58.29,56286.0,56286.0,97.0,154.0,7.0,36.62,168.12,5397.43,154.52,69.47,231.0,204.0,61.0,0.028009335,130.0,216.0,57.0,510.0,64.0,9.0,44.0,177.0,40.0,48.0,167.0,115.0,37.0,6286.0,307.0,4.0,303.0,82.0,215.0
80,80,243790233,Sus scrofa,37.221001,-2.329,POINT (-2.329 37.221001),1,2.2970023,131.0,13.0,1099.15,68.89,-0.59,16.95,55.19,58482.0,58482.0,106.0,164.0,7.0,37.72,159.48,4998.55,147.09,93.17,255.0,204.0,61.0,0.06230902,135.0,217.0,65.0,451.0,57.0,9.0,41.0,148.0,42.0,47.0,138.0,108.0,38.0,5968.0,297.0,14.0,283.0,113.0,215.0
81,81,243790232,Sus scrofa,37.356998,-2.734,POINT (-2.734 37.356998),1,0.35181624,133.0,7.0,1128.08,70.67,-0.56,17.9,56.7,57024.0,57024.0,99.0,156.0,7.0,36.65,167.75,5378.87,154.18,69.72,237.0,126.0,58.0,0.04817014,132.0,218.0,58.0,493.0,62.0,10.0,42.0,168.0,43.0,49.0,156.0,114.0,37.0,6298.0,307.0,6.0,301.0,84.0,217.0
82,82,243790229,Sus scrofa,37.099998,-2.94,POINT (-2.94 37.099998),1,0.6523273,141.0,26.0,1047.88,69.39,-0.33,18.5,78.13,42570.0,25476.0,66.0,121.0,6.0,31.81,161.47,5327.54,148.95,61.55,137.5,175.0,72.0,0.025600296,98.0,188.0,23.0,704.0,88.0,19.0,40.0,244.0,72.0,76.0,223.0,120.0,38.0,6492.0,286.0,-29.0,315.0,48.0,187.0
83,83,243790223,Sus scrofa,37.860001,-2.2430000000000003,POINT (-2.243 37.860001),1,0.45572835,87.0,31.0,1110.34,64.29,-0.55,18.05,57.73,53928.0,47949.0,92.0,150.0,6.0,35.39,165.6,5344.57,151.81,93.63,215.25,1560.0,65.0,0.004653043,125.0,211.0,50.0,504.0,65.0,13.0,35.0,170.0,60.0,62.0,138.0,117.0,38.0,6341.0,301.0,-2.0,303.0,103.0,210.0
84,84,243790101,Sus scrofa,37.176998,-3.1630000000000003,POINT (-3.163 37.176998),1,0.003160534,142.0,24.0,1149.21,70.58,-0.54,18.35,58.94,56808.0,52074.0,97.0,154.0,7.0,36.8,172.51,5566.9,158.13,70.28,232.75,96.0,77.0,0.042786933,131.0,219.0,56.0,528.0,65.0,9.0,46.0,185.0,38.0,46.0,179.0,118.0,38.0,6405.0,313.0,3.0,310.0,83.0,218.0
85,85,243790089,Sus scrofa,37.698002,-2.211,POINT (-2.211 37.698002),1,1.6400067,136.0,39.0,1089.91,64.67,-0.51,18.05,61.73,51624.0,34992.0,87.0,145.0,6.0,34.64,163.1,5270.09,149.99,91.1,199.25,316.0,75.0,0.027063612,119.0,206.0,45.0,538.0,69.0,15.0,35.0,180.0,65.0,67.0,150.0,116.0,38.0,6341.0,296.0,-7.0,303.0,97.0,205.0
86,86,243790081,Sus scrofa,36.834,-2.4330000000000003,POINT (-2.433 36.834),1,-3.4e+38,135.0,21.0,1047.1,75.93,-0.76,14.15,38.43,75024.0,75024.0,150.0,208.0,12.0,42.94,138.15,3936.56,127.53,51.77,394.0,131.0,76.0,-3.4e+38,174.0,241.0,114.0,252.0,33.0,2.0,48.0,93.0,15.0,20.0,87.0,83.0,36.0,4946.0,295.0,70.0,225.0,150.0,237.0
87,87,243790068,Sus scrofa,37.139,-6.3820000000000014,POINT (-6.382000000000001 37.139),1,1.5707964,146.0,49.0,1155.74,75.54,-0.54,15.25,73.51,77976.0,77976.0,147.0,205.0,12.0,42.04,159.73,4857.03,147.07,40.59,396.0,115.0,69.0,0.0,180.0,250.0,114.0,531.0,82.0,1.0,64.0,229.0,15.0,22.0,209.0,94.0,38.0,5321.0,316.0,69.0,247.0,123.0,248.0
88,88,1934855541,Sus scrofa,36.8973632926693,31.2998338931292,POINT (31.2998338931292 36.8973632926693),0,3.1812747,146.0,33.0,1244.41,80.6,-0.16,16.8,132.18,79344.0,79344.0,146.0,212.0,12.0,43.77,169.38,5150.12,157.98,43.77,390.0,112.0,71.0,0.012733815,183.0,262.0,110.0,1045.0,234.0,3.0,92.0,623.0,21.0,21.0,623.0,107.0,39.0,5998.0,331.0,61.0,270.0,110.0,260.0
89,89,1934855535,Sus scrofa,34.0131622039317,-11.586070461495414,POINT (-11.58607046149542 34.0131622039317),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
90,90,1934855524,Sus scrofa,43.80175897322919,13.661869916499706,POINT (13.6618699164997 43.80175897322918),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
91,91,1934855513,Sus scrofa,43.717371598132175,36.374483339475155,POINT (36.37448333947516 43.71737159813217),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
92,92,1934855509,Sus scrofa,50.43077524682441,25.628475235282696,POINT (25.6284752352827 50.43077524682441),0,0.5660222,127.0,21.0,738.69,39.55,-0.22,23.45,64.4,26689.5,20170.5,-20.0,132.0,5.0,9.47,17.01,5030.08,126.45,126.45,25.75,173.0,60.0,0.006075194,73.0,178.0,-38.0,574.0,82.0,27.0,36.0,219.0,88.0,219.0,99.0,84.0,26.0,8431.0,238.0,-79.0,317.0,178.0,-30.0
93,93,1934855505,Sus scrofa,39.53400423691679,23.946343092202447,POINT (23.94634309220245 39.5340042369168),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
94,94,1934855504,Sus scrofa,40.22024092231032,17.223720125314937,POINT (17.22372012531494 40.22024092231031),0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-3.4e+38,-3.4e+38,-3.4e+38,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0
95,95,1934855484,Sus scrofa,46.936304061834754,26.058432133204153,POINT (26.05843213320415 46.93630406183476),0,1.636525,124.0,16.0,764.25,26.85,-0.17,22.1,72.8,23908.5,18081.0,-16.0,113.0,5.0,12.65,21.97,4651.51,122.39,121.01,-14.5,496.0,61.0,0.03262105,63.0,159.0,-42.0,637.0,101.0,28.0,49.0,280.0,87.0,271.0,87.0,96.0,30.0,7819.0,220.0,-93.0,313.0,145.0,-29.0
96,96,1934855482,Sus scrofa,41.12585420192379,29.386173875672306,POINT (29.3861738756723 41.12585420192379),0,2.67452,135.0,28.0,884.16,61.77,-0.04,17.05,121.2,58050.0,58050.0,82.0,181.0,8.0,35.53,125.8,4240.58,128.02,27.21,235.0,163.0,62.0,0.0045274366,134.0,212.0,58.0,846.0,135.0,30.0,47.0,353.0,101.0,104.0,264.0,77.0,31.0,6080.0,262.0,19.0,243.0,80.0,189.0
97,97,1934855480,Sus scrofa,34.8764265677695,-1.0075654697061225,POINT (-1.007565469706122 34.8764265677695),0,0.11624625,133.0,19.0,1163.83,76.02,-0.6,17.4,55.83,64080.0,64080.0,119.0,183.0,8.0,42.78,161.87,4949.15,152.48,42.78,294.0,122.0,64.0,0.011608539,148.0,231.0,77.0,460.0,62.0,5.0,50.0,172.0,31.0,32.0,172.0,108.0,38.0,6052.0,311.0,27.0,284.0,77.0,228.0
98,98,1934855479,Sus scrofa,46.308880127800606,30.043448624152894,POINT (30.0434486241529 46.30888012780061),0,1.647966,109.0,44.0,750.39,53.53,-0.38,23.15,54.95,37575.0,29064.0,10.0,173.0,6.0,13.95,39.58,4539.35,122.06,118.11,116.25,219.0,75.0,0.0028154023,102.0,207.0,-5.0,468.0,57.0,25.0,23.0,155.0,97.0,151.0,111.0,69.0,23.0,8310.0,257.0,-43.0,300.0,188.0,38.0
99,99,1934855476,Sus scrofa,50.35755212348051,11.796668064120205,POINT (11.7966680641202 50.35755212348051),0,1.2055496,130.0,17.0,676.06,27.94,0.1,18.2,104.4,23031.0,17052.0,-2.0,106.0,5.0,10.33,37.51,4348.41,112.31,112.31,15.0,593.0,57.0,0.011621232,66.0,148.0,-18.0,751.0,81.0,46.0,17.0,231.0,158.0,231.0,181.0,78.0,30.0,6507.0,206.0,-50.0,256.0,148.0,20.0
