,Unnamed: 0,occurrence_id,gbif_id,occurrence_type,basis_of_record,event_date,decimal_latitude,decimal_longitude,dataset_key,has_geospatial_issues,label,taxonvariant_id,back_key,species,dec_lat,dec_lon,coordinates,lonlat,in_dist_polygon,year,month
337,312900,1146153,1901037909,,HUMAN_OBSERVATION,2018-06-06 07:22:00+00:00,11.862988,1.035984,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.035984 11.862988),"(1.035984, 11.862988)",True,2018,6
338,314568,1147821,891072804,,HUMAN_OBSERVATION,2008-12-25 06:29:00+00:00,-0.161883,30.020296,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob thomasi,106226,5706375,Kobus kob,6,6,POINT (30.020296 -0.161883),"(30.020296, -0.161883)",True,2008,12
376,386178,1219431,919418892,PhysicalObject,PRESERVED_SPECIMEN,1957-04-16 00:00:00+00:00,-0.13333,29.866670000000006,22a66350-7947-4a49-84a3-39c7c1b0881f,0,Kobus kob thomasi,106226,5706375,Kobus kob,5,15,POINT (29.86667000000001 -0.13333),"(29.866670000000006, -0.13333)",True,1957,4
378,402390,1235643,1839253361,,HUMAN_OBSERVATION,2018-03-31 00:00:00+00:00,5.948318,0.026081,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (0.026081 5.948318),"(0.026081, 5.948318)",True,2018,3
379,402757,1236010,1838312615,,HUMAN_OBSERVATION,2018-04-11 05:07:00+00:00,11.164148,1.21975,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,5,POINT (1.21975 11.164148),"(1.21975, 11.164148)",True,2018,4
380,402763,1236016,1838312873,,HUMAN_OBSERVATION,2018-04-10 13:45:00+00:00,11.345282,1.4566370000000002,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,16,POINT (1.456637 11.345282),"(1.4566370000000002, 11.345282)",True,2018,4
381,406206,1239459,1677328963,,HUMAN_OBSERVATION,2017-06-12 06:54:00+00:00,11.584455,1.441058,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.441058 11.584455),"(1.441058, 11.584455)",True,2017,6
382,406208,1239461,1677328967,,HUMAN_OBSERVATION,2012-01-05 21:57:00+00:00,11.429747,1.441734,50c9509d-22c7-4a22-a47d-8c48425ef4a7,0,Kobus kob kob,106220,7261414,Kobus kob,6,6,POINT (1.441734 11.429747),"(1.441734, 11.429747)",True,2012,1
383,412878,1246131,1098628585,NBDB,HUMAN_OBSERVATION,1996-11-24 00:00:00+00:00,2.2529,31.6542,026af01f-d227-476f-9e81-d5273eca6a2b,0,Kobus kob,106218,5220161,Kobus kob,4,4,POINT (31.6542 2.2529),"(31.6542, 2.2529)",True,1996,11
384,412884,1246137,1098628591,NBDB,HUMAN_OBSERVATION,2007-09-18 00:00:00+00:00,-0.3291,29.8725,026af01f-d227-476f-9e81-d5273eca6a2b,0,Kobus kob,106218,5220161,Kobus kob,4,4,POINT (29.8725 -0.3291),"(29.8725, -0.3291)",True,2007,9
