,AUC_pilot,AUC_extended,AUC_ext_gis
Mazama_gouazoubira,0.8191721854304637,0.6874509803921567,0.9460571184995736
Mazama_nana,0.9223030303030304,0.9831111111111112,1.0
Mazama_pandora,0.5122424242424242,0.6103333333333334,0.9979089790897908
Mazama_temama,0.6707619047619048,0.7273777777777779,0.932549019607843
Muntiacus_reevesi,0.960262910798122,0.997879477229136,0.9994345805820494
Nanger_granti,0.9954247185599904,0.9872220974623848,0.9998790151835946
Nanger_soemmerringii,0.5493333333333333,0.5666666666666667,0.587956204379562
Neotragus_batesi,0.39865771812080536,0.3878378378378379,0.3820895522388059
Neotragus_pygmaeus,0.9876666666666668,0.9357037037037036,0.9957633892885692
Odocoileus_hemionus,0.9380632790028762,0.9646303601431804,0.9970012128108764
Odocoileus_virginianus,0.9050864197530863,0.9480281918585352,0.9901024502408988
Oreamnos_americanus,0.8875102375102376,0.898074074074074,0.9783676268861454
Oreotragus_oreotragus,0.6775483870967742,0.6462883872279845,0.9127272727272728
Oryx_beisa,0.772123287671233,0.7412492269635126,0.9104830593760482
Oryx_gazella,0.7275008713837574,0.6636392305266477,0.9815388655462186
Ourebia_ourebi,0.9888087431693988,0.988157413056742,0.9994651139171944
Ovibos_moschatus,0.4705426356589147,0.6337711069418386,0.664046822742475
Ovis_canadensis,0.9004848484848484,0.9685754385964912,0.9986055544765976
Ovis_dalli,0.6379715522572665,0.4054911531421599,0.5961371961371962
Pecari_tajacu,0.8042905982905981,0.9390716204947652,0.9940817924881667
Pelea_capreolus,0.4195555555555555,0.6242825607064018,0.27512254901960786
Phacochoerus_aethiopicus,0.5982222222222222,0.3727891156462585,0.4725274725274725
Phacochoerus_africanus,0.9382899888143176,0.9801897635578908,0.9974070450097848
Philantomba_maxwellii,0.988938607481654,0.9844102564102564,0.996972277415082
Philantomba_monticola,0.8912000000000001,0.6272727272727273,0.707849714860785
Potamochoerus_larvatus,0.4986577181208053,0.5447427293064877,0.7322303921568627
Potamochoerus_porcus,0.94775,0.8455686274509805,0.8920772737139135
Procapra_picticaudata,0.6279999999999999,0.2806666666666667,0.7194139194139194
Pseudois_nayaur,0.708,0.4075555555555556,0.4056372549019608
Pudu_puda,0.9507619047619048,0.8838222222222221,0.9975490196078431
Rangifer_tarandus,0.6666666666666666,0.97344296669063,0.9953229928091756
Raphicerus_campestris,0.678294573643411,0.7279836591771227,0.9966432225063938
Raphicerus_melanotis,0.5559999999999999,0.6751111111111111,0.5254320987654321
Raphicerus_sharpei,0.5375838926174497,0.5146666666666666,0.5251526251526252
Redunca_arundinum,0.4484444444444445,0.5319463087248322,0.7591272727272728
Redunca_fulvorufula,0.5413513513513515,0.5975675675675676,0.6416058394160584
Redunca_redunca,0.9990303030303029,0.9894848484848484,0.9998913770053476
Rhinoceros_unicornis,0.5271523178807948,0.4753333333333333,0.620817843866171
Rupicapra_pyrenaica,0.9984516129032258,0.9985454545454546,1.0
Rupicapra_rupicapra,0.9590588235294116,0.982846153846154,0.9983597285067872
Rusa_unicolor,0.5757805108798486,0.6388070175438597,0.6405379256965944
Sus_barbatus,0.6702222222222222,0.5720000000000001,0.7260223048327137
Sus_scrofa,0.4654525386313466,0.9854249737926166,0.99744287869132
Syncerus_caffer,0.9383933933933932,0.9716044861524378,0.9963443574854836
Tapirus_terrestris,0.9884836601307192,0.98441995714723,0.9967305759420456
Tayassu_pecari,0.7716170212765958,0.7503029449062983,0.9745226404800872
Tragelaphus_angasii,0.9326913580246912,0.9418523489932886,0.9926423357664234
Tragelaphus_buxtoni,0.6086092715231788,0.3493333333333334,0.5761904761904761
Tragelaphus_eurycerus,0.9973509933774836,0.31466666666666665,0.3471586715867158
Tragelaphus_imberbis,0.5750750750750749,0.710135135135135,0.950479704797048
Tragelaphus_scriptus,0.901413654618474,0.9682421875,0.9983770718232045
Tragelaphus_spekii,0.5991051454138702,0.428993288590604,0.23232472324723244
Tragelaphus_strepsiceros,0.8403257488950728,0.9292775365179629,0.9979757785467128
Tragulus_kanchil,0.5800000000000001,0.5701986754966887,0.5029411764705882
Tragulus_napu,0.5933333333333334,0.4887417218543046,0.5897058823529411
