,acc_pilot,acc_extended,acc_ext_gis
Dama_dama,0.7892156855732786,0.9295211529742836,0.9905134474327628
Damaliscus_lunatus,0.4908045983177492,0.5931818181818181,0.7986577182808178
Damaliscus_pygargus,0.6745341614906832,0.7962962962962963,0.886925796106089
Diceros_bicornis,0.6241379306234163,0.5805714297975813,0.7195945945945945
Equus_grevyi,0.9957894719274419,0.9808510635761506,0.99873417721519
Equus_hemionus,0.6261904761904763,0.4264150914905957,0.8319148923488374
Equus_kiang,0.7592105261589353,0.7407894730567932,0.4757352941176471
Equus_zebra,0.24936708956956866,0.6490322593912001,0.5151079143551615
Eudorcas_rufifrons,0.6379084950860808,0.40261437796494537,0.3680000001733953
Eudorcas_thomsonii,0.9306358386326388,0.9183908041866344,0.6936454857472192
Gazella_bennettii,0.5974025962027636,0.6376623381654938,0.4245487369139703
Gazella_dorcas,0.9918918918918921,0.9636363615160404,0.9871313672922252
Gazella_gazella,0.9945701357466064,0.9977121067683508,0.9997995991983968
Gazella_subgutturosa,0.6666666642707936,0.6855263159463281,0.5694545459313826
Giraffa_camelopardalis,0.8392344507874485,0.8474418589680693,0.9898809523809524
Hippopotamus_amphibius,0.8171428565751938,0.8766519823788548,0.9674285704748972
Hippotragus_equinus,0.9766784473358532,0.9746236559139784,0.9936651574001054
Hippotragus_niger,0.2975,0.2725,0.465017667254795
Hyemoschus_aquaticus,0.8670967755779143,0.1493506496893121,0.5605839414372497
Hylochoerus_meinertzhageni,0.6792207766372662,0.22322580725915972,0.3550724638221057
Kobus_ellipsiprymnus,0.7862385320007255,0.8797101438909337,0.9773299748110832
Kobus_kob,0.9692307692307692,0.9876675601299584,0.9957924263674616
Kobus_leche,0.19235668739031075,0.06282051308796956,0.9017667850841482
Kobus_megaceros,0.07643312161705296,0.1215189880773991,0.8911032024227428
Kobus_vardonii,0.1455696210453782,0.5375796167666366,0.5790613736916965
Litocranius_walleri,0.8514285720416478,0.8531073454409668,0.9275167779634464
Madoqua_guentheri,0.3542483648248748,0.5267973854553466,0.5691756278490079
Madoqua_kirkii,0.4795321639518292,0.4566473991367858,0.6668918918918919
Mazama_americana,0.962608695652174,0.9386861318219316,0.9787878787878788
Mazama_gouazoubira,0.7528795795915014,0.572455090676953,0.8948805461157712
Mazama_nana,0.9453416149068324,0.9691358024691358,0.8239436623076317
Mazama_pandora,0.3838509316770186,0.5703703703703703,0.8869257970328045
Mazama_temama,0.6426829268292684,0.5648484852458492,0.7344947719823194
Muntiacus_reevesi,0.8986425336130065,0.9850052798310454,0.9902762430939228
Nanger_granti,0.976923076923077,0.9559701499654286,0.9964376590330788
Nanger_soemmerringii,0.6131578953642595,0.7802631572673195,0.4094202898766683
Neotragus_batesi,0.4119205276302944,0.4320000000397364,0.4977777771817314
Neotragus_pygmaeus,0.902531642249868,0.8905660347368732,0.8808362349400538
Odocoileus_hemionus,0.8536398467432951,0.8939828080229226,0.97592407587644
Odocoileus_virginianus,0.8294573643410853,0.8750572081506934,0.9659615384615384
Oreamnos_americanus,0.8287292827558781,0.7954802277397974,0.9454545454545455
Oreotragus_oreotragus,0.5624309400827187,0.5318681316061334,0.8436482089738504
Oryx_beisa,0.6060240963855421,0.6130177525373606,0.7112627989602983
Oryx_gazella,0.6380952387890487,0.6010362694300518,0.9414012732779146
Ourebia_ourebi,0.9516587677725118,0.9498069498069498,0.989473684963427
Ovibos_moschatus,0.7525925933873212,0.4823529411764706,0.4006920415224913
Ovis_canadensis,0.8268041237113403,0.9208163268712102,0.9825136610067609
Ovis_dalli,0.4848101289966439,0.42375,0.4781690142524074
Pecari_tajacu,0.7491228070175439,0.8715127706761914,0.9628865979381442
Pelea_capreolus,0.3692307698994111,0.62292993656674,0.18057553988995312
Phacochoerus_aethiopicus,0.4209876543209877,0.4120805370427618,0.6407272725755517
Phacochoerus_africanus,0.8857142865901091,0.923972602739726,0.9695340501792116
Philantomba_maxwellii,0.9797872345498266,0.9396825414486032,0.9748387112156036
Philantomba_monticola,0.6737500000000001,0.4571428571428571,0.5652482286412666
Potamochoerus_larvatus,0.3445161305127605,0.6425806467859976,0.4726618707180023
Potamochoerus_porcus,0.815662650027907,0.8167664673513995,0.7631944444444444
Procapra_picticaudata,0.533333332320444,0.2723684221113983,0.6712727269692855
Pseudois_nayaur,0.5843137254025421,0.4588235301909103,0.2894545452919873
Pudu_puda,0.8878048780487804,0.8339393944090062,0.9923344947735192
Rangifer_tarandus,0.20000000041286656,0.9432762837643146,0.9705237516096534
Raphicerus_campestris,0.6632124352331606,0.646153846337245,0.9723270440251572
Raphicerus_melanotis,0.4745098026554569,0.504575161889098,0.3560439562186216
Raphicerus_sharpei,0.3161290324022693,0.5089743593373359,0.7813620070402767
Redunca_arundinum,0.3496855320045783,0.27547169646377084,0.5228070171464954
Redunca_fulvorufula,0.5973856185094204,0.6901960767367307,0.6888888892841168
Redunca_redunca,0.9841409693730558,0.943697478691069,0.995
Rhinoceros_unicornis,0.23921568634268506,0.41184210463574056,0.4752767531634257
Rupicapra_pyrenaica,0.9878453038674032,0.9807228915662651,0.9994565217391304
Rupicapra_rupicapra,0.937724551183735,0.9574803150544956,0.9936170212765958
Rusa_unicolor,0.3369696975476814,0.5420118346722168,0.4735395189003436
Sus_barbatus,0.6130718943632506,0.8171052640990208,0.3904059043999528
Sus_scrofa,0.4024539879128977,0.9647058822519641,0.9880266075388026
Syncerus_caffer,0.8596638648449874,0.91484375,0.9692622950819672
Tapirus_terrestris,0.9658730158730158,0.9505154639175256,0.9717391309530841
Tayassu_pecari,0.7126903553904615,0.6909090903070237,0.910625
Tragelaphus_angasii,0.8802259898455129,0.8310344820735098,0.9625418060200668
Tragelaphus_buxtoni,0.3411764705200601,0.4894736842105263,0.29454545430703594
Tragelaphus_eurycerus,0.9509433962264152,0.7793548417956598,0.6673913048661273
Tragelaphus_imberbis,0.17707006384612647,0.24050633013248446,0.7060498224034427
Tragelaphus_scriptus,0.8300429189665636,0.9066326530612244,0.9737265415549596
Tragelaphus_spekii,0.5974193543291861,0.136363637060314,0.4115942029633384
Tragelaphus_strepsiceros,0.776623377397463,0.8564102553913735,0.980952380952381
Tragulus_kanchil,0.5697368435169522,0.054901960667441865,0.07591240884069979
Tragulus_napu,0.1592105269824204,0.17894736779363532,0.2183150183204766
