band	mean	std_dev
93	0.61945003	0.9144584
94	0.59467876	0.9029236
95	0.5942965	0.9265804
96	0.5088608	0.63733816
97	0.5096668	0.6442787
98	0.50903916	0.6468037
99	0.5057828	0.65205723
100	0.49559724	0.63961536
101	0.49760416	0.63759995
102	0.4977177	0.6360534
103	0.5024508	0.64909536
104	0.48341465	0.6300865
105	0.46615416	0.625991
106	0.45041487	0.6182708
107	0.43479168	0.6393788
108	0.432619	0.6330775
109	0.48253924	0.3726323
110	0.48958376	0.37662262
111	0.49453917	0.37533185
112	0.48720357	0.37342244
113	0.47783193	0.3647372
114	0.4760215	0.36231992
115	0.47314426	0.3596121
116	0.47050297	0.3573422
117	0.45585096	0.3489774
118	0.44656643	0.3407653
119	0.43728262	0.333131
120	0.4356044	0.33245993
121	0.43801695	0.33590105
122	0.0	0.0
123	0.42110217	1.1773876
124	0.11743894	2.430991
125	-0.28858694	3.5450082
126	-0.24700645	1.3630915
127	-0.10469999	1.2033939
128	-0.081332356	1.1530945
129	0.0061431727	1.3470945
130	0.33798295	1.4877286
131	0.23818578	1.3749989
132	0.28232607	1.3968693
133	0.7163378	2.4586346
134	1.8728862	6.6855016
135	11258897.0	14548436.0
136	11680011.0	14761519.0
137	11797439.0	14829726.0
138	11508855.0	14370242.0
139	11261867.0	13978738.0
140	11157150.0	13638512.0
141	11075823.0	13455177.0
142	11081960.0	13414211.0
143	11419945.0	13658927.0
144	11658145.0	14014577.0
145	11940461.0	14570027.0
146	12656800.0	15859974.0
147	14529686.0	20686494.0
148	0.23227541	0.10690214
149	0.25107005	0.119016856
150	0.25215262	0.12052542
151	0.25094426	0.118859075
152	0.25101382	0.11888386
153	0.2505913	0.11898977
154	0.25053495	0.11894473
155	0.25171983	0.119987495
156	0.25168836	0.120137095
157	0.25374877	0.11928965
158	0.25390136	0.11909596
159	0.2490356	0.1162284
160	0.24887155	0.11480618
161	84.70384	50.8951
162	81.44593	43.014935
163	80.5184	41.709225
164	83.94011	49.96557
165	81.96857	46.334484
166	80.89438	43.398605
167	80.19496	41.133087
168	80.17631	40.69459
169	81.191025	41.189274
170	84.68236	41.239357
171	88.16891	43.236275
172	94.86318	45.010002
173	106.69928	55.682384
174	21262562.0	33678308.0
175	21425686.0	33338276.0
176	21892524.0	33409634.0
177	21716718.0	32902182.0
178	21151138.0	31993068.0
179	20843802.0	31441314.0
180	20536546.0	31086698.0
181	20466682.0	30926290.0
182	21207406.0	31453976.0
183	22000530.0	32284792.0
184	22793718.0	33443378.0
185	24669122.0	36496684.0
186	28973898.0	47413868.0
187	23955122.0	30954132.0
188	24851076.0	31407458.0
189	25100916.0	31552610.0
190	24486936.0	30574996.0
191	23961358.0	29741990.0
192	23738620.0	29018106.0
193	23565592.0	28628004.0
194	23578656.0	28540838.0
195	24297780.0	29061584.0
196	24804534.0	29818226.0
197	25405258.0	31000064.0
198	26929388.0	33744620.0
199	30914220.0	44013800.0
200	3.6052957	1.150242
201	3.4072545	0.9967562
202	3.2998447	1.0717711
203	3.2916307	1.0370847
204	3.4547417	1.0247036
205	3.3480966	1.0080073
206	3.0709786	0.8866333
207	2.8976016	0.9424087
208	2.089801	0.99893177
209	2.1095862	1.0509429
210	2.199863	1.1927625
211	2.0786679	1.1832426
212	2.1002321	1.2567828
213	4.393764	1.8113054
214	4.024644	1.688233
215	3.779594	1.5569607
216	3.7076154	1.3825672
217	3.8063543	1.0312153
218	3.593085	0.93786734
219	3.2206788	1.0222704
220	2.9731073	0.87956464
221	2.346056	0.9532267
222	2.3130498	0.8932575
223	2.199888	0.91318095
224	2.1676066	0.8816966
225	2.200022	0.9188776
